Body
Date,Weight,BMI,Fat
"01-03-2018","84.79","24.77","0"
"02-03-2018","84.7","24.75","0"
"03-03-2018","84.6","24.72","0"
"04-03-2018","84.5","24.69","0"
"05-03-2018","84.4","24.66","0"
"06-03-2018","84.8","24.78","0"
"07-03-2018","84.75","24.76","0"
"08-03-2018","84.7","24.75","0"
"09-03-2018","84.4","24.66","0"
"10-03-2018","84.8","24.78","0"
"11-03-2018","85.2","24.89","0"
"12-03-2018","84.3","24.63","0"
"13-03-2018","84.4","24.66","0"
"14-03-2018","84.3","24.63","0"
"15-03-2018","84.1","24.57","0"
"16-03-2018","83.9","24.51","0"
"17-03-2018","83.7","24.46","0"
"18-03-2018","83.1","24.28","0"
"19-03-2018","83.5","24.4","0"
"20-03-2018","83.5","24.4","0"
"21-03-2018","83.7","24.46","0"
"22-03-2018","83","24.25","0"
"23-03-2018","83.3","24.34","0"
"24-03-2018","83.3","24.34","0"
"25-03-2018","82.8","24.19","0"
"26-03-2018","82.5","24.11","0"
"27-03-2018","82.2","24.02","0"
"28-03-2018","82.4","24.08","0"
"29-03-2018","82.5","24.11","0"
"30-03-2018","82.9","24.22","0"
"31-03-2018","82.3","24.05","0"

